experiment_id,timestamp,model_type,architecture,units,layers,dropout,l2_reg,optimizer,learning_rate,batch_size,epochs_trained,final_train_loss,final_val_loss,final_train_rmse,final_val_rmse,test_rmse,training_time_seconds,converged,best_epoch
1,2025-09-18 09:05:34,rnn,baseline_rnn,32,1,0.2,0.01,adam,0.001,32,17,8221.2705078125,8569.67578125,90.66630554199219,91.7185768458995,,86.31809973716736,True,2
2,2025-09-18 09:09:49,lstm,simple_lstm,50,1,0.2,0.01,adam,0.001,32,18,7017.40576171875,9440.6162109375,83.74768829345703,91.67148013222906,,250.254576921463,True,3
3,2025-09-18 09:22:06,stacked_lstm,stacked_lstm,64,3,0.3,0.01,adam,0.001,32,17,8341.3408203125,8533.4013671875,91.30172729492188,91.36776762248812,,726.5238726139069,True,2
4,2025-09-18 09:37:07,bidirectional_lstm,bidirectional_lstm,50,2,0.25,0.01,adam,0.001,32,23,8021.79345703125,8587.560546875,89.51443481445312,91.50677717194655,,896.0455498695374,True,8
5,2025-09-18 09:47:14,gru,gru_model,64,2,0.2,0.01,adam,0.001,32,17,6092.80615234375,10151.9765625,78.02021026611328,91.41714004822184,,602.1145780086517,True,2
6,2025-09-18 10:09:34,lstm,lstm_lr0.01_bs16_dp0.1,50,2,0.1,0.01,adam,0.01,16,24,109531.421875,20020.13671875,330.6199645996094,91.67723385182818,,1336.1963579654694,True,9
7,2025-09-18 10:26:43,lstm,lstm_lr0.01_bs16_dp0.2,50,2,0.2,0.01,adam,0.01,16,18,9658.4208984375,9097.77734375,97.82059478759766,91.96319491889615,,1024.8640003204346,True,3
8,2025-09-18 10:41:44,lstm,lstm_lr0.01_bs16_dp0.3,50,2,0.3,0.01,adam,0.01,16,17,4875279.0,75757.828125,2207.9794921875,98.38315637393319,,896.2178494930267,True,2
9,2025-09-18 10:50:23,lstm,lstm_lr0.01_bs32_dp0.1,50,2,0.1,0.01,adam,0.01,32,16,,,,91.57021889061042,,513.559910774231,True,7
10,2025-09-18 10:57:52,lstm,lstm_lr0.01_bs32_dp0.2,50,2,0.2,0.01,adam,0.01,32,17,13235.7236328125,11061.697265625,114.94109344482422,93.80975459933751,,446.86301589012146,True,2
11,2025-09-18 11:01:59,lstm,lstm_lr0.01_bs32_dp0.3,50,2,0.3,0.01,adam,0.01,32,23,8557.607421875,8521.7236328125,92.42607879638672,91.77188137868667,,245.48607754707336,True,8
12,2025-09-18 11:07:53,lstm,lstm_lr0.01_bs64_dp0.1,50,2,0.1,0.01,adam,0.01,64,48,7909.890625,8682.744140625,88.85997772216797,91.93898865348656,,352.2445948123932,True,33
13,2025-09-18 11:10:10,lstm,lstm_lr0.01_bs64_dp0.2,50,2,0.2,0.01,adam,0.01,64,17,8538.12890625,8767.689453125,92.29534912109375,91.42147795379161,,135.61334681510925,True,2
14,2025-09-18 11:12:42,lstm,lstm_lr0.01_bs64_dp0.3,50,2,0.3,0.01,adam,0.01,64,19,8348.6962890625,8820.7470703125,91.31412506103516,91.62900280826311,,150.2368767261505,True,4
15,2025-09-18 11:18:20,lstm,lstm_lr0.001_bs16_dp0.1,50,2,0.1,0.01,adam,0.001,16,18,6734.33056640625,9904.5244140625,82.02074432373047,91.37830318858714,,336.3939950466156,True,3
